Facility ,County,Total licensed beds,Cases*,Deaths**
SUNNY ACRES NURSING HOME,MIDDLESEX,93,11-30,1-4
SUTTON HILL CENTER,ESSEX,142,> 30,15
SWEET BROOK OF WILLIAMSTOWN REHABILITATION & N CTR,BERKSHIRE,146,0,0
TERRACES ORLEANS (THE),BARNSTABLE,50,0,0
THE LELAND HOME,MIDDLESEX,40,1-10,0
THOMAS UPHAM HOUSE,NORFOLK,42,1-10,0
TIMBERLYN HEIGHTS NURSING AND REHABILITATION,BERKSHIRE,71,1-10,0
TIMOTHY DANIELS HOUSE,MIDDLESEX,40,1-10,0
TOWN AND COUNTRY HEALTH CARE CENTER,MIDDLESEX,80,> 30,10
TREMONT HEALTH CARE CENTER,PLYMOUTH,104,> 30,15
TWIN OAKS REHAB AND NURSING,ESSEX,101,> 30,11
VERO HEALTH & REHAB OF HAMPDEN,HAMPDEN,100,> 30,15
VERO HEALTH & REHAB OF SOUTH HADLEY,HAMPSHIRE,132,> 30,24
VERO HEALTH & REHAB OF WILBRAHAM,HAMPDEN,135,> 30,22
VICTORIA HAVEN NURSING FACILITY,NORFOLK,31,1-10,0
VILLAGE REST HOME,BRISTOL,14,1-10,1-4
VILLAGE REST HOME,WORCESTER,25,0,0
VILLAGE REST HOME II OF BROCKTON,PLYMOUTH,16,0,0
WACHUSETT MANOR,WORCESTER,96,> 30,9
WAKEFIELD CENTER,MIDDLESEX,149,> 30,13
WALPOLE HEALTHCARE,NORFOLK,90,> 30,11
WAREHAM HEALTHCARE,PLYMOUTH,175,1-10,0
WATERTOWN HEALTH CENTER,MIDDLESEX,163,> 30,18
WATERVIEW LODGE LLC REHABILITATION & HEALTHCARE,MIDDLESEX,103,> 30,12
WEBSTER MANOR REHABILITATION & HEALTH CARE CENTER,WORCESTER,135,> 30,9
WEBSTER PARK REHABILITATION AND HEALTHCARE CENTER,PLYMOUTH,110,> 30,15
WEDGEMERE HEALTHCARE,BRISTOL,94,> 30,8
WEST NEWTON HEALTHCARE,MIDDLESEX,123,> 30,13
WEST REVERE HEALTH CENTER,SUFFOLK,119,> 30,8
WEST ROXBURY HEALTH & REHABILITATION CENTER,SUFFOLK,76,> 30,8
WEST SIDE HOUSE LTC FACILITY,WORCESTER,91,> 30,10
WESTBOROUGH HEALTHCARE,WORCESTER,117,> 30,23
WESTFIELD CENTER,HAMPDEN,98,1-10,0
WESTFIELD GARDENS NURSING AND REHAB,HAMPDEN,80,0,0
WESTFORD HOUSE,MIDDLESEX,123,> 30,5
WESTVIEW REST HOME,PLYMOUTH,20,0,0
WHITTIER BRADFORD TRANSITIONAL CARE UNIT,ESSEX,20,1-10,0
WHITTIER WESTBOROUGH TRANSITIONAL CARE UNIT,WORCESTER,19,1-10,0
WILLIAMSTOWN COMMONS NURSING & REHAB,BERKSHIRE,180,> 30,24
WILLIMANSETT CENTER EAST,HAMPDEN,85,0,0
WILLIMANSETT CENTER WEST,HAMPDEN,103,0,0
WILLOW MANOR,MIDDLESEX,90,> 30,6
WILLOWBROOK MANOR REST HOME,NORFOLK,36,0,0
WILLOWS AT WORCESTER (THE),WORCESTER,28,0,0
WINCHESTER NURSING CENTER INC,MIDDLESEX,121,11-30,1-4
WINDEMERE NURSING & REHAB CTR ON MARTHAS VINEYARD,DUKES,106,0,0
WINDSOR NURSING & RETIREMENT HOME,BARNSTABLE,120,11-30,1-4
WINGATE AT CHESTNUT HILL,NORFOLK,135,> 30,13
WINGATE AT HARWICH,BARNSTABLE,135,> 30,21
WINGATE AT HAVERHILL,ESSEX,146,> 30,21
WINGATE AT NEEDHAM,NORFOLK,142,> 30,22
WINGATE AT NORTON,BRISTOL,106,1-10,0
WINGATE AT SHARON,NORFOLK,66,> 30,9
WINGATE AT SILVER LAKE,PLYMOUTH,164,> 30,11
WINGATE AT WESTON,MIDDLESEX,160,> 30,22
WINTER HILL REST HOME,WORCESTER,15,0,0
WOBURN NURSING CENTER INC,MIDDLESEX,140,> 30,18
WORCESTER HEALTH CENTER,WORCESTER,160,> 30,7
WORCESTER REHABILITATION & HEALTH CARE CENTER,WORCESTER,160,> 30,12
